name,number_of_locations,priority
Common Tody-Flycatcher,3,
Crimson-fronted Parakeet,3,Y
Dusky-capped Flycatcher,3,
Eastern Kingbird,3,
Gray-breasted Martin,3,
Gray-capped Flycatcher,3,
Gray-headed Tanager,3,
Great Crested Flycatcher,3,
Green Hermit,3,Y
Green-breasted Mango,3,
Groove-billed Ani,3,Maybe
Laughing Falcon,3,Y
Lesser Greenlet,3,
Little Blue Heron,3,
Long-billed Hermit,3,
Magnificent Frigatebird,3,Y
Northern Barred-Woodcreeper,3,
Ochraceous Wren,3,
Ochre-bellied Flycatcher,3,
Olive-sided Flycatcher,3,
Orange-billed Nightingale-Thrush,3,
Orange-billed Sparrow,3,
Pale-vented Pigeon,3,
Piratic Flycatcher,3,
Plain Wren,3,
Plain Xenops,3,
Purple Gallinule,3,
Purple-crowned Fairy,3,Y
Red-billed Pigeon,3,Y
Red-legged Honeycreeper,3,
Red-tailed Hawk,3,
Rose-breasted Grosbeak,3,
Ruddy Pigeon,3,
Rufous-naped Wren,3,
Scaled Pigeon,3,
Sooty-capped Chlorospingus,3,Y
Spotted Sandpiper,3,
Stripe-tailed Hummingbird,3,
Sulphur-winged Parakeet,3,Y
swallow sp.,3,
Swallow-tailed Kite,3,
Torrent Tyrannulet,3,
Tricolored Heron,3,Y
Tufted Flycatcher,3,
Variable Seedeater,3,
Vaux's Swift,3,
Violet Sabrewing,3,Y
Western/Eastern Wood-Pewee,3,
White Ibis,3,Y
White-winged Becard,3,
White-winged Dove,3,
Wilson's Warbler,3,
Yellow-bellied Elaenia,3,
Yellow-green Vireo,3,
Yellow-throated Vireo,3,
Acorn Woodpecker,2,Y
Amazon Kingfisher,2,Y
American Dipper,2,
Anhinga,2,Y
Band-backed Wren,2,
Band-tailed Barbthroat,2,
Bank Swallow,2,
Barred Antshrike,2,Y
Bay-headed Tanager,2,
Belted Kingfisher,2,
Bicolored Antbird,2,
Bicolored Hawk,2,
Black Guan,2,Y
Black Swift,2,
Black Tern,2,
Black-billed Nightingale-Thrush,2,
Blackburnian Warbler,2,
Black-capped Flycatcher,2,
Black-cheeked Warbler,2,
Black-crowned Night-Heron,2,
Black-crowned Tityra,2,Y
Black-faced Solitaire,2,Y
Black-headed Saltator,2,
Black-hooded Antshrike,2,
Black-striped Sparrow,2,
Black-striped Woodcreeper,2,
Black-thighed Grosbeak,2,
Black-throated Trogon,2,
Blue Dacnis,2,Maybe
Blue-black Grosbeak,2,
Boat-billed Heron,2,Maybe
Bronze-tailed Plumeleteer,2,
Bronzy Hermit,2,
Brown Booby,2,Y
Brown Pelican,2,
