name,number_of_locations,priority,photo_url,photo_link,photo_attribution
Brown Jay,3,,https://flic.kr/p/eGa72t,https://farm4.staticflickr.com/3667/8987074101_f45ee1e661_b.jpg,Dick Culbert
Common Black Hawk,3,,https://flic.kr/p/byuxxn,https://farm8.staticflickr.com/7204/6931264791_1e70f2a2c3_b.jpg,dfaulder
Common Tody-Flycatcher,3,,https://flic.kr/p/3o4wNF,https://farm3.staticflickr.com/2138/1562365411_e2cd721841_o.jpg,Dario Sanches
Crimson-fronted Parakeet,3,Y,https://flic.kr/p/e1AYGr,https://farm9.staticflickr.com/8505/8539462521_4158c56b39_b.jpg,Charles Sharp
Dusky-capped Flycatcher,3,,https://flic.kr/p/diMWmP,https://farm9.staticflickr.com/8183/8077624551_5d9c2ea45c_b.jpg,Ron Knight
Gray-breasted Martin,3,,https://flic.kr/p/khNcnJ,https://farm4.staticflickr.com/3759/12660855944_b66778904b_b.jpg,Seabamirum
Gray-capped Flycatcher,3,,https://flic.kr/p/dAe1Bx,https://farm9.staticflickr.com/8357/8263580597_68da7607b3_o.jpg,dfaulder
Gray-headed Tanager,3,,https://flic.kr/p/9mjaTk,https://farm6.staticflickr.com/5299/5480729333_db6d648e91_b.jpg,Julian Iondono
Great Crested Flycatcher,3,,https://flic.kr/p/9z6Nu4,https://farm6.staticflickr.com/5187/5625430443_99242b252b_b.jpg,Andrea Westmoreland
Green Hermit,3,Y,https://flic.kr/p/qy36MH,https://farm8.staticflickr.com/7498/16115099999_e9efdea5ae_b.jpg,Francesco Varonesi
Green-breasted Mango,3,,https://flic.kr/p/b44P1F,https://farm8.staticflickr.com/7157/6598260651_39db35b797_b.jpg,Kathy & sam
Groove-billed Ani,3,Maybe,https://flic.kr/p/9QrDB4,https://farm3.staticflickr.com/2125/5799050253_c08b97c343_b.jpg,Brian Ralphs
Laughing Falcon,3,Y,https://flic.kr/p/pwdkrm,https://farm8.staticflickr.com/7466/15438107274_066b41e33e_b.jpg,Don Henise
Lesser Greenlet,3,,https://flic.kr/p/bUdbUA,https://farm6.staticflickr.com/5311/7154403506_aff1e4ee4a_b.jpg,Brian Gratwicke
Little Blue Heron,3,,https://flic.kr/p/ptRbJo,https://farm4.staticflickr.com/3929/15411347642_23644d8466_b.jpg,Francesco Veronesi
Long-billed Hermit,3,,https://flic.kr/p/rerEzu,https://farm8.staticflickr.com/7443/16561041222_54e3b6a225_b.jpg,Mike's Birds
Magnificent Frigatebird,3,Y,https://flic.kr/p/5oeqkR,https://farm4.staticflickr.com/3226/2877008327_e6c898750c_b.jpg,Seabamirum
Northern Barred-Woodcreeper,3,,https://flic.kr/p/bx354J,https://farm6.staticflickr.com/5333/6914782952_33d25bc80b_b.jpg,Don Faulkner
